-----------EB Tester Software-----------
Device:EBC-A20
Mode:D-CC  0.10A  2.55V
Begin Volt:3.383V
Cutoff Volt:2.550V
Capacity:919mAh
Energy:2835mWh
Avg Volt:3.08V
Title:EB Tester Software
------------www.zketech.com--------------
Time(S),Cur(A),Vol(V)
0,0.00,3.383
1,0.00,3.383
2,0.10,3.383
4,0.10,3.383
6,0.10,3.383
8,0.10,3.383
10,0.10,3.382
12,0.10,3.382
14,0.10,3.382
16,0.10,3.382
18,0.10,3.382
20,0.10,3.382
22,0.10,3.382
24,0.10,3.382
26,0.10,3.382
28,0.10,3.382
30,0.10,3.381
32,0.10,3.381
34,0.10,3.381
36,0.10,3.381
38,0.10,3.380
40,0.10,3.379
42,0.10,3.379
44,0.10,3.378
46,0.10,3.378
48,0.10,3.377
50,0.10,3.377
52,0.10,3.377
54,0.10,3.376
56,0.10,3.376
58,0.10,3.376
60,0.10,3.376
62,0.10,3.376
64,0.10,3.376
66,0.10,3.376
68,0.10,3.376
70,0.10,3.376
72,0.10,3.376
74,0.10,3.376
76,0.10,3.376
78,0.10,3.376
80,0.10,3.376
82,0.10,3.376
84,0.10,3.376
86,0.10,3.376
88,0.10,3.376
90,0.10,3.376
92,0.10,3.376
94,0.10,3.376
96,0.10,3.376
98,0.10,3.376
100,0.10,3.376
102,0.10,3.376
104,0.10,3.376
106,0.10,3.376
108,0.10,3.376
110,0.10,3.376
112,0.10,3.376
114,0.10,3.376
116,0.10,3.376
118,0.10,3.376
120,0.10,3.376
122,0.10,3.376
124,0.10,3.376
126,0.10,3.376
128,0.10,3.376
130,0.10,3.376
132,0.10,3.376
134,0.10,3.376
136,0.10,3.376
138,0.10,3.376
140,0.10,3.376
142,0.10,3.376
144,0.10,3.376
146,0.10,3.376
148,0.10,3.375
150,0.10,3.376
152,0.10,3.376
154,0.10,3.376
156,0.10,3.376
158,0.10,3.376
160,0.10,3.376
162,0.10,3.375
164,0.10,3.375
166,0.10,3.375
168,0.10,3.376
170,0.10,3.375
172,0.10,3.375
174,0.10,3.375
176,0.10,3.375
178,0.10,3.375
180,0.10,3.375
182,0.10,3.375
184,0.10,3.375
186,0.10,3.375
188,0.10,3.375
190,0.10,3.375
192,0.10,3.375
194,0.10,3.375
196,0.10,3.375
198,0.10,3.375
200,0.10,3.374
202,0.10,3.374
204,0.10,3.374
206,0.10,3.373
208,0.10,3.373
210,0.10,3.372
212,0.10,3.372
214,0.10,3.371
216,0.10,3.370
218,0.10,3.370
220,0.10,3.370
222,0.10,3.370
224,0.10,3.369
226,0.10,3.369
228,0.10,3.369
230,0.10,3.369
232,0.10,3.369
234,0.10,3.369
236,0.10,3.369
238,0.10,3.369
240,0.10,3.369
242,0.10,3.369
244,0.10,3.369
246,0.10,3.369
248,0.10,3.369
250,0.10,3.369
252,0.10,3.369
254,0.10,3.369
256,0.10,3.369
258,0.10,3.369
260,0.10,3.369
262,0.10,3.369
264,0.10,3.369
266,0.10,3.369
268,0.10,3.369
270,0.10,3.369
272,0.10,3.369
274,0.10,3.369
276,0.10,3.369
278,0.10,3.369
280,0.10,3.369
282,0.10,3.369
284,0.10,3.369
286,0.10,3.369
288,0.10,3.369
290,0.10,3.369
292,0.10,3.369
294,0.10,3.369
296,0.10,3.369
298,0.10,3.369
300,0.10,3.369
302,0.10,3.369
304,0.10,3.369
306,0.10,3.369
308,0.10,3.369
310,0.10,3.369
312,0.10,3.369
314,0.10,3.368
316,0.10,3.368
318,0.10,3.368
320,0.10,3.368
322,0.10,3.369
324,0.10,3.368
326,0.10,3.368
328,0.10,3.368
330,0.10,3.368
332,0.10,3.368
334,0.10,3.368
336,0.10,3.368
338,0.10,3.368
340,0.10,3.368
342,0.10,3.368
344,0.10,3.368
346,0.10,3.368
348,0.10,3.368
350,0.10,3.368
352,0.10,3.367
354,0.10,3.367
356,0.10,3.366
358,0.10,3.366
360,0.10,3.365
362,0.10,3.364
364,0.10,3.364
366,0.10,3.363
368,0.10,3.363
370,0.10,3.362
372,0.10,3.362
374,0.10,3.361
376,0.10,3.361
378,0.10,3.361
380,0.10,3.361
382,0.10,3.361
384,0.10,3.361
386,0.10,3.361
388,0.10,3.361
390,0.10,3.361
392,0.10,3.361
394,0.10,3.361
396,0.10,3.361
398,0.10,3.361
400,0.10,3.361
402,0.10,3.361
404,0.10,3.361
406,0.10,3.361
408,0.10,3.361
410,0.10,3.361
412,0.10,3.361
414,0.10,3.361
416,0.10,3.361
418,0.10,3.361
420,0.10,3.361
422,0.10,3.361
424,0.10,3.361
426,0.10,3.361
428,0.10,3.361
430,0.10,3.361
432,0.10,3.361
434,0.10,3.361
436,0.10,3.361
438,0.10,3.361
440,0.10,3.361
442,0.10,3.361
444,0.10,3.361
446,0.10,3.361
448,0.10,3.361
450,0.10,3.361
452,0.10,3.361
454,0.10,3.360
456,0.10,3.361
458,0.10,3.361
460,0.10,3.361
462,0.10,3.361
464,0.10,3.361
466,0.10,3.361
468,0.10,3.360
470,0.10,3.361
472,0.10,3.360
474,0.10,3.361
476,0.10,3.361
478,0.10,3.361
480,0.10,3.360
482,0.10,3.360
484,0.10,3.360
486,0.10,3.360
488,0.10,3.360
490,0.10,3.360
492,0.10,3.360
494,0.10,3.360
496,0.10,3.360
498,0.10,3.360
500,0.10,3.360
502,0.10,3.360
504,0.10,3.360
506,0.10,3.360
508,0.10,3.360
510,0.10,3.360
512,0.10,3.360
514,0.10,3.360
516,0.10,3.359
518,0.10,3.359
520,0.10,3.358
522,0.10,3.358
524,0.10,3.357
526,0.10,3.356
528,0.10,3.356
530,0.10,3.355
532,0.10,3.355
534,0.10,3.354
536,0.10,3.354
538,0.10,3.354
540,0.10,3.354
542,0.10,3.354
544,0.10,3.354
546,0.10,3.354
548,0.10,3.354
550,0.10,3.354
552,0.10,3.354
554,0.10,3.354
556,0.10,3.354
558,0.10,3.354
560,0.10,3.354
562,0.10,3.354
564,0.10,3.354
566,0.10,3.354
568,0.10,3.354
570,0.10,3.354
572,0.10,3.354
574,0.10,3.354
576,0.10,3.354
578,0.10,3.354
580,0.10,3.354
582,0.10,3.354
584,0.10,3.354
586,0.10,3.354
588,0.10,3.354
590,0.10,3.354
592,0.10,3.354
594,0.10,3.354
596,0.10,3.354
598,0.10,3.354
600,0.10,3.354
602,0.10,3.353
604,0.10,3.354
606,0.10,3.354
608,0.10,3.354
610,0.10,3.354
612,0.10,3.354
614,0.10,3.354
616,0.10,3.354
618,0.10,3.354
620,0.10,3.354
622,0.10,3.353
624,0.10,3.353
626,0.10,3.354
628,0.10,3.353
630,0.10,3.353
632,0.10,3.353
634,0.10,3.353
636,0.10,3.353
638,0.10,3.353
640,0.10,3.353
642,0.10,3.353
644,0.10,3.353
646,0.10,3.353
648,0.10,3.353
650,0.10,3.353
652,0.10,3.353
654,0.10,3.353
656,0.10,3.352
658,0.10,3.352
660,0.10,3.351
662,0.10,3.351
664,0.10,3.350
666,0.10,3.350
668,0.10,3.349
670,0.10,3.349
672,0.10,3.349
674,0.10,3.348
676,0.10,3.348
678,0.10,3.347
680,0.10,3.347
682,0.10,3.347
684,0.10,3.347
686,0.10,3.347
688,0.10,3.347
690,0.10,3.347
692,0.10,3.347
694,0.10,3.347
696,0.10,3.347
698,0.10,3.347
700,0.10,3.347
702,0.10,3.347
704,0.10,3.347
706,0.10,3.347
708,0.10,3.347
710,0.10,3.347
712,0.10,3.347
714,0.10,3.347
716,0.10,3.347
718,0.10,3.347
720,0.10,3.347
722,0.10,3.347
724,0.10,3.347
726,0.10,3.347
728,0.10,3.347
730,0.10,3.347
732,0.10,3.347
734,0.10,3.347
736,0.10,3.347
738,0.10,3.347
740,0.10,3.347
742,0.10,3.347
744,0.10,3.347
746,0.10,3.347
748,0.10,3.347
750,0.10,3.347
752,0.10,3.347
754,0.10,3.347
756,0.10,3.347
758,0.10,3.347
760,0.10,3.347
762,0.10,3.347
764,0.10,3.346
766,0.10,3.347
768,0.10,3.347
770,0.10,3.347
772,0.10,3.347
774,0.10,3.347
776,0.10,3.347
778,0.10,3.346
780,0.10,3.346
782,0.10,3.346
784,0.10,3.346
786,0.10,3.346
788,0.10,3.346
790,0.10,3.346
792,0.10,3.346
794,0.10,3.346
796,0.10,3.346
798,0.10,3.346
800,0.10,3.346
802,0.10,3.346
804,0.10,3.346
806,0.10,3.346
808,0.10,3.346
810,0.10,3.346
812,0.10,3.346
814,0.10,3.346
816,0.10,3.345
818,0.10,3.345
820,0.10,3.344
822,0.10,3.344
824,0.10,3.343
826,0.10,3.342
828,0.10,3.341
830,0.10,3.341
832,0.10,3.340
834,0.10,3.340
836,0.10,3.340
838,0.10,3.339
840,0.10,3.339
842,0.10,3.339
844,0.10,3.339
846,0.10,3.339
848,0.10,3.339
850,0.10,3.339
852,0.10,3.339
854,0.10,3.339
856,0.10,3.339
858,0.10,3.339
860,0.10,3.339
862,0.10,3.339
864,0.10,3.339
866,0.10,3.339
868,0.10,3.339
870,0.10,3.339
872,0.10,3.339
874,0.10,3.339
876,0.10,3.339
878,0.10,3.339
880,0.10,3.339
882,0.10,3.339
884,0.10,3.339
886,0.10,3.339
888,0.10,3.339
890,0.10,3.339
892,0.10,3.339
894,0.10,3.339
896,0.10,3.339
898,0.10,3.339
900,0.10,3.339
902,0.10,3.339
904,0.10,3.339
906,0.10,3.339
908,0.10,3.339
910,0.10,3.339
912,0.10,3.339
914,0.10,3.339
916,0.10,3.339
918,0.10,3.339
920,0.10,3.339
922,0.10,3.339
924,0.10,3.339
926,0.10,3.339
928,0.10,3.339
930,0.10,3.338
932,0.10,3.338
934,0.10,3.339
936,0.10,3.338
938,0.10,3.339
940,0.10,3.338
942,0.10,3.338
944,0.10,3.338
946,0.10,3.338
948,0.10,3.338
950,0.10,3.338
952,0.10,3.338
954,0.10,3.338
956,0.10,3.338
958,0.10,3.338
960,0.10,3.338
962,0.10,3.338
964,0.10,3.338
966,0.10,3.338
968,0.10,3.338
970,0.10,3.337
972,0.10,3.337
974,0.10,3.336
976,0.10,3.336
978,0.10,3.335
980,0.10,3.334
982,0.10,3.334
984,0.10,3.333
986,0.10,3.333
988,0.10,3.332
990,0.10,3.332
992,0.10,3.332
994,0.10,3.332
996,0.10,3.332
998,0.10,3.332
1000,0.10,3.332
1002,0.10,3.332
1004,0.10,3.332
1006,0.10,3.332
1008,0.10,3.332
1010,0.10,3.332
1012,0.10,3.332
1014,0.10,3.332
1016,0.10,3.332
1018,0.10,3.332
1020,0.10,3.332
1022,0.10,3.332
1024,0.10,3.332
1026,0.10,3.332
1028,0.10,3.332
1030,0.10,3.332
1032,0.10,3.332
1034,0.10,3.332
1036,0.10,3.332
1038,0.10,3.332
1040,0.10,3.332
1042,0.10,3.332
1044,0.10,3.332
1046,0.10,3.332
1048,0.10,3.332
1050,0.10,3.332
1052,0.10,3.331
1054,0.10,3.332
1056,0.10,3.332
1058,0.10,3.332
1060,0.10,3.332
1062,0.10,3.332
1064,0.10,3.332
1066,0.10,3.332
1068,0.10,3.332
1070,0.10,3.332
1072,0.10,3.332
1074,0.10,3.332
1076,0.10,3.332
1078,0.10,3.332
1080,0.10,3.332
1082,0.10,3.332
1084,0.10,3.332
1086,0.10,3.331
1088,0.10,3.331
1090,0.10,3.331
1092,0.10,3.331
1094,0.10,3.331
1096,0.10,3.331
1098,0.10,3.331
1100,0.10,3.331
1102,0.10,3.331
1104,0.10,3.331
1106,0.10,3.331
1108,0.10,3.331
1110,0.10,3.331
1112,0.10,3.331
1114,0.10,3.331
1116,0.10,3.331
1118,0.10,3.331
1120,0.10,3.331
1122,0.10,3.331
1124,0.10,3.330
1126,0.10,3.330
1128,0.10,3.329
1130,0.10,3.329
1132,0.10,3.329
1134,0.10,3.328
1136,0.10,3.328
1138,0.10,3.328
1140,0.10,3.327
1142,0.10,3.326
1144,0.10,3.326
1146,0.10,3.326
1148,0.10,3.325
1150,0.10,3.325
1152,0.10,3.325
1154,0.10,3.325
1156,0.10,3.325
1158,0.10,3.325
1160,0.10,3.325
1162,0.10,3.325
1164,0.10,3.325
1166,0.10,3.325
1168,0.10,3.325
1170,0.10,3.325
1172,0.10,3.325
1174,0.10,3.325
1176,0.10,3.325
1178,0.10,3.325
1180,0.10,3.325
1182,0.10,3.325
1184,0.10,3.325
1186,0.10,3.325
1188,0.10,3.325
1190,0.10,3.325
1192,0.10,3.325
1194,0.10,3.325
1196,0.10,3.325
1198,0.10,3.325
1200,0.10,3.325
1202,0.10,3.325
1204,0.10,3.325
1206,0.10,3.325
1208,0.10,3.325
1210,0.10,3.325
1212,0.10,3.325
1214,0.10,3.325
1216,0.10,3.325
1218,0.10,3.325
1220,0.10,3.325
1222,0.10,3.325
1224,0.10,3.325
1226,0.10,3.325
1228,0.10,3.325
1230,0.10,3.325
1232,0.10,3.325
1234,0.10,3.325
1236,0.10,3.325
1238,0.10,3.325
1240,0.10,3.325
1242,0.10,3.325
1244,0.10,3.325
1246,0.10,3.324
1248,0.10,3.324
1250,0.10,3.324
1252,0.10,3.324
1254,0.10,3.324
1256,0.10,3.324
1258,0.10,3.324
1260,0.10,3.324
1262,0.10,3.324
1264,0.10,3.324
1266,0.10,3.324
1268,0.10,3.324
1270,0.10,3.324
1272,0.10,3.323
1274,0.10,3.323
1276,0.10,3.323
1278,0.10,3.322
1280,0.10,3.322
1282,0.10,3.321
1284,0.10,3.320
1286,0.10,3.320
1288,0.10,3.319
1290,0.10,3.319
1292,0.10,3.318
1294,0.10,3.318
1296,0.10,3.318
1298,0.10,3.317
1300,0.10,3.317
1302,0.10,3.317
1304,0.10,3.317
1306,0.10,3.317
1308,0.10,3.317
1310,0.10,3.317
1312,0.10,3.317
1314,0.10,3.317
1316,0.10,3.317
1318,0.10,3.317
1320,0.10,3.317
1322,0.10,3.317
1324,0.10,3.317
1326,0.10,3.317
1328,0.10,3.317
1330,0.10,3.317
1332,0.10,3.317
1334,0.10,3.317
1336,0.10,3.317
1338,0.10,3.317
1340,0.10,3.317
1342,0.10,3.317
1344,0.10,3.317
1346,0.10,3.317
1348,0.10,3.317
1350,0.10,3.317
1352,0.10,3.317
1354,0.10,3.317
1356,0.10,3.317
1358,0.10,3.317
1360,0.10,3.317
1362,0.10,3.317
1364,0.10,3.317
1366,0.10,3.317
1368,0.10,3.317
1370,0.10,3.317
1372,0.10,3.317
1374,0.10,3.317
1376,0.10,3.317
1378,0.10,3.317
1380,0.10,3.317
1382,0.10,3.317
1384,0.10,3.317
1386,0.10,3.317
1388,0.10,3.317
1390,0.10,3.317
1392,0.10,3.317
1394,0.10,3.317
1396,0.10,3.317
1398,0.10,3.317
1400,0.10,3.317
1402,0.10,3.317
1404,0.10,3.317
1406,0.10,3.317
1408,0.10,3.317
1410,0.10,3.317
1412,0.10,3.317
1414,0.10,3.317
1416,0.10,3.317
1418,0.10,3.317
1420,0.10,3.317
1422,0.10,3.317
1424,0.10,3.317
1426,0.10,3.317
1428,0.10,3.317
1430,0.10,3.317
1432,0.10,3.317
1434,0.10,3.317
1436,0.10,3.317
1438,0.10,3.317
1440,0.10,3.317
1442,0.10,3.317
1444,0.10,3.317
1446,0.10,3.317
1448,0.10,3.317
1450,0.10,3.316
1452,0.10,3.316
1454,0.10,3.316
1456,0.10,3.315
1458,0.10,3.315
1460,0.10,3.314
1462,0.10,3.314
1464,0.10,3.314
1466,0.10,3.313
1468,0.10,3.312
1470,0.10,3.312
1472,0.10,3.311
1474,0.10,3.311
1476,0.10,3.311
1478,0.10,3.310
1480,0.10,3.310
1482,0.10,3.310
1484,0.10,3.310
1486,0.10,3.310
1488,0.10,3.310
1490,0.10,3.310
1492,0.10,3.310
1494,0.10,3.310
1496,0.10,3.310
1498,0.10,3.310
1500,0.10,3.310
1502,0.10,3.310
1504,0.10,3.310
1506,0.10,3.310
1508,0.10,3.310
1510,0.10,3.310
1512,0.10,3.310
1514,0.10,3.310
1516,0.10,3.310
1518,0.10,3.310
1520,0.10,3.310
1522,0.10,3.310
1524,0.10,3.310
1526,0.10,3.310
1528,0.10,3.310
1530,0.10,3.310
1532,0.10,3.310
1534,0.10,3.310
1536,0.10,3.310
1538,0.10,3.310
1540,0.10,3.310
1542,0.10,3.310
1544,0.10,3.310
1546,0.10,3.310
1548,0.10,3.310
1550,0.10,3.310
1552,0.10,3.310
1554,0.10,3.310
1556,0.10,3.310
1558,0.10,3.310
1560,0.10,3.310
1562,0.10,3.310
1564,0.10,3.310
1566,0.10,3.310
1568,0.10,3.310
1570,0.10,3.310
1572,0.10,3.310
1574,0.10,3.310
1576,0.10,3.310
1578,0.10,3.310
1580,0.10,3.310
1582,0.10,3.310
1584,0.10,3.310
1586,0.10,3.310
1588,0.10,3.309
1590,0.10,3.310
1592,0.10,3.309
1594,0.10,3.309
1596,0.10,3.310
1598,0.10,3.309
1600,0.10,3.309
1602,0.10,3.310
1604,0.10,3.309
1606,0.10,3.309
1608,0.10,3.309
1610,0.10,3.309
1612,0.10,3.309
1614,0.10,3.309
1616,0.10,3.309
1618,0.10,3.309
1620,0.10,3.309
1622,0.10,3.309
1624,0.10,3.309
1626,0.10,3.309
1628,0.10,3.309
1630,0.10,3.309
1632,0.10,3.309
1634,0.10,3.308
1636,0.10,3.308
1638,0.10,3.308
1640,0.10,3.307
1642,0.10,3.307
1644,0.10,3.307
1646,0.10,3.306
1648,0.10,3.306
1650,0.10,3.306
1652,0.10,3.306
1654,0.10,3.305
1656,0.10,3.305
1658,0.10,3.304
1660,0.10,3.304
1662,0.10,3.304
1664,0.10,3.304
1666,0.10,3.303
1668,0.10,3.303
1670,0.10,3.303
1672,0.10,3.303
1674,0.10,3.303
1676,0.10,3.303
1678,0.10,3.303
1680,0.10,3.303
1682,0.10,3.303
1684,0.10,3.303
1686,0.10,3.303
1688,0.10,3.303
1690,0.10,3.303
1692,0.10,3.303
1694,0.10,3.303
1696,0.10,3.303
1698,0.10,3.303
1700,0.10,3.303
1702,0.10,3.303
1704,0.10,3.303
1706,0.10,3.303
1708,0.10,3.303
1710,0.10,3.303
1712,0.10,3.303
1714,0.10,3.303
1716,0.10,3.303
1718,0.10,3.303
1720,0.10,3.303
1722,0.10,3.303
1724,0.10,3.303
1726,0.10,3.303
1728,0.10,3.303
1730,0.10,3.303
1732,0.10,3.303
1734,0.10,3.303
1736,0.10,3.303
1738,0.10,3.303
1740,0.10,3.303
1742,0.10,3.303
1744,0.10,3.303
1746,0.10,3.303
1748,0.10,3.303
1750,0.10,3.303
1752,0.10,3.303
1754,0.10,3.303
1756,0.10,3.303
1758,0.10,3.303
1760,0.10,3.303
1762,0.10,3.303
1764,0.10,3.303
1766,0.10,3.303
1768,0.10,3.303
1770,0.10,3.303
1772,0.10,3.303
1774,0.10,3.303
1776,0.10,3.303
1778,0.10,3.303
1780,0.10,3.303
1782,0.10,3.303
1784,0.10,3.303
1786,0.10,3.303
1788,0.10,3.303
1790,0.10,3.303
1792,0.10,3.303
1794,0.10,3.303
1796,0.10,3.303
1798,0.10,3.303
1800,0.10,3.303
1802,0.10,3.302
1804,0.10,3.303
1806,0.10,3.302
1808,0.10,3.303
1810,0.10,3.303
1812,0.10,3.302
1814,0.10,3.302
1816,0.10,3.302
1818,0.10,3.302
1820,0.10,3.302
1822,0.10,3.302
1824,0.10,3.302
1826,0.10,3.302
1828,0.10,3.302
1830,0.10,3.302
1832,0.10,3.302
1834,0.10,3.302
1836,0.10,3.302
1838,0.10,3.302
1840,0.10,3.302
1842,0.10,3.302
1844,0.10,3.302
1846,0.10,3.302
1848,0.10,3.302
1850,0.10,3.302
1852,0.10,3.302
1854,0.10,3.302
1856,0.10,3.302
1858,0.10,3.302
1860,0.10,3.301
1862,0.10,3.301
1864,0.10,3.301
1866,0.10,3.301
1868,0.10,3.300
1870,0.10,3.300
1872,0.10,3.300
1874,0.10,3.299
1876,0.10,3.299
1878,0.10,3.298
1880,0.10,3.298
1882,0.10,3.298
1884,0.10,3.298
1886,0.10,3.297
1888,0.10,3.297
1890,0.10,3.296
1892,0.10,3.296
1894,0.10,3.296
1896,0.10,3.296
1898,0.10,3.296
1900,0.10,3.296
1902,0.10,3.296
1904,0.10,3.296
1906,0.10,3.296
1908,0.10,3.296
1910,0.10,3.296
1912,0.10,3.296
1914,0.10,3.296
1916,0.10,3.296
1918,0.10,3.296
1920,0.10,3.296
1922,0.10,3.296
1924,0.10,3.296
1926,0.10,3.296
1928,0.10,3.296
1930,0.10,3.296
1932,0.10,3.296
1934,0.10,3.296
1936,0.10,3.296
1938,0.10,3.296
1940,0.10,3.296
1942,0.10,3.296
1944,0.10,3.296
1946,0.10,3.296
1948,0.10,3.296
1950,0.10,3.296
1952,0.10,3.296
1954,0.10,3.296
1956,0.10,3.296
1958,0.10,3.296
1960,0.10,3.296
1962,0.10,3.296
1964,0.10,3.296
1966,0.10,3.296
1968,0.10,3.296
1970,0.10,3.296
1972,0.10,3.296
1974,0.10,3.296
1976,0.10,3.296
1978,0.10,3.296
1980,0.10,3.296
1982,0.10,3.296
1984,0.10,3.296
1986,0.10,3.296
1988,0.10,3.296
1990,0.10,3.296
1992,0.10,3.296
1994,0.10,3.296
1996,0.10,3.296
1998,0.10,3.296
2000,0.10,3.296
2002,0.10,3.296
2004,0.10,3.296
2006,0.10,3.296
2008,0.10,3.296
2010,0.10,3.296
2012,0.10,3.296
2014,0.10,3.296
2016,0.10,3.296
2018,0.10,3.296
2020,0.10,3.296
2022,0.10,3.296
2024,0.10,3.296
2026,0.10,3.296
2028,0.10,3.296
2030,0.10,3.296
2032,0.10,3.296
2034,0.10,3.296
2036,0.10,3.296
2038,0.10,3.296
2040,0.10,3.296
2042,0.10,3.296
2044,0.10,3.296
2046,0.10,3.296
2048,0.10,3.295
2050,0.10,3.296
2052,0.10,3.296
2054,0.10,3.296
2056,0.10,3.296
2058,0.10,3.296
2060,0.10,3.296
2062,0.10,3.296
2064,0.10,3.296
2066,0.10,3.296
2068,0.10,3.296
2070,0.10,3.296
2072,0.10,3.295
2074,0.10,3.295
2076,0.10,3.295
2078,0.10,3.295
2080,0.10,3.296
2082,0.10,3.295
2084,0.10,3.295
2086,0.10,3.295
2088,0.10,3.295
2090,0.10,3.295
2092,0.10,3.295
2094,0.10,3.295
2096,0.10,3.295
2098,0.10,3.295
2100,0.10,3.295
2102,0.10,3.295
2104,0.10,3.295
2106,0.10,3.295
2108,0.10,3.295
2110,0.10,3.295
2112,0.10,3.295
2114,0.10,3.295
2116,0.10,3.295
2118,0.10,3.295
2120,0.10,3.295
2122,0.10,3.295
2124,0.10,3.295
2126,0.10,3.295
2128,0.10,3.295
2130,0.10,3.295
2132,0.10,3.295
2134,0.10,3.295
2136,0.10,3.295
2138,0.10,3.295
2140,0.10,3.294
2142,0.10,3.294
2144,0.10,3.294
2146,0.10,3.294
2148,0.10,3.294
2150,0.10,3.293
2152,0.10,3.293
2154,0.10,3.293
2156,0.10,3.293
2158,0.10,3.293
2160,0.10,3.292
2162,0.10,3.292
2164,0.10,3.292
2166,0.10,3.291
2168,0.10,3.291
2170,0.10,3.291
2172,0.10,3.291
2174,0.10,3.290
2176,0.10,3.290
2178,0.10,3.290
2180,0.10,3.290
2182,0.10,3.289
2184,0.10,3.289
2186,0.10,3.289
2188,0.10,3.289
2190,0.10,3.289
2192,0.10,3.288
2194,0.10,3.288
2196,0.10,3.288
2198,0.10,3.288
2200,0.10,3.288
2202,0.10,3.288
2204,0.10,3.288
2206,0.10,3.288
2208,0.10,3.288
2210,0.10,3.288
2212,0.10,3.288
2214,0.10,3.288
2216,0.10,3.288
2218,0.10,3.288
2220,0.10,3.288
2222,0.10,3.288
2224,0.10,3.288
2226,0.10,3.288
2228,0.10,3.288
2230,0.10,3.288
2232,0.10,3.288
2234,0.10,3.288
2236,0.10,3.288
2238,0.10,3.288
2240,0.10,3.288
2242,0.10,3.288
2244,0.10,3.288
2246,0.10,3.288
2248,0.10,3.288
2250,0.10,3.288
2252,0.10,3.288
2254,0.10,3.288
2256,0.10,3.288
2258,0.10,3.288
2260,0.10,3.288
2262,0.10,3.288
2264,0.10,3.288
2266,0.10,3.288
2268,0.10,3.288
2270,0.10,3.288
2272,0.10,3.288
2274,0.10,3.288
2276,0.10,3.288
2278,0.10,3.288
2280,0.10,3.288
2282,0.10,3.288
2284,0.10,3.288
2286,0.10,3.288
2288,0.10,3.288
2290,0.10,3.288
2292,0.10,3.288
2294,0.10,3.288
2296,0.10,3.288
2298,0.10,3.288
2300,0.10,3.288
2302,0.10,3.288
2304,0.10,3.288
2306,0.10,3.288
2308,0.10,3.288
2310,0.10,3.288
2312,0.10,3.288
2314,0.10,3.288
2316,0.10,3.288
2318,0.10,3.288
2320,0.10,3.288
2322,0.10,3.288
2324,0.10,3.288
2326,0.10,3.288
2328,0.10,3.288
2330,0.10,3.288
2332,0.10,3.288
2334,0.10,3.288
2336,0.10,3.288
2338,0.10,3.288
2340,0.10,3.288
2342,0.10,3.288
2344,0.10,3.288
2346,0.10,3.288
2348,0.10,3.288
2350,0.10,3.288
2352,0.10,3.288
2354,0.10,3.288
2356,0.10,3.288
2358,0.10,3.288
2360,0.10,3.288
2362,0.10,3.288
2364,0.10,3.288
2366,0.10,3.288
2368,0.10,3.288
2370,0.10,3.288
2372,0.10,3.288
2374,0.10,3.288
2376,0.10,3.288
2378,0.10,3.287
2380,0.10,3.288
2381,0.10,3.288
2384,0.10,3.288
2386,0.10,3.288
2388,0.10,3.288
2390,0.10,3.288
2392,0.10,3.288
2394,0.10,3.288
2396,0.10,3.288
2398,0.10,3.288
2400,0.10,3.288
2402,0.10,3.288
2404,0.10,3.288
2405,0.10,3.288
2408,0.10,3.288
2410,0.10,3.288
2412,0.10,3.288
2413,0.10,3.288
2416,0.10,3.288
2418,0.10,3.288
2420,0.10,3.288
2421,0.10,3.288
2424,0.10,3.288
2426,0.10,3.288
2428,0.10,3.288
2429,0.10,3.288
2432,0.10,3.288
2434,0.10,3.288
2436,0.10,3.288
2437,0.10,3.288
2440,0.10,3.288
2442,0.10,3.288
2444,0.10,3.288
2445,0.10,3.288
2448,0.10,3.288
2450,0.10,3.288
2452,0.10,3.288
2453,0.10,3.288
2456,0.10,3.288
2458,0.10,3.288
2460,0.10,3.288
2461,0.10,3.287
2464,0.10,3.288
2466,0.10,3.288
2468,0.10,3.288
2469,0.10,3.287
2472,0.10,3.288
2474,0.10,3.288
2475,0.10,3.287
2478,0.10,3.288
2480,0.10,3.287
2482,0.10,3.288
2483,0.10,3.287
2486,0.10,3.287
2488,0.10,3.287
2489,0.10,3.288
2492,0.10,3.287
2494,0.10,3.287
2496,0.10,3.287
2497,0.10,3.287
2500,0.10,3.287
2502,0.10,3.287
2503,0.10,3.287
2506,0.10,3.287
2508,0.10,3.287
2510,0.10,3.287
2511,0.10,3.287
2514,0.10,3.287
2516,0.10,3.287
2517,0.10,3.287
2520,0.10,3.287
2522,0.10,3.287
2524,0.10,3.287
2525,0.10,3.287
2528,0.10,3.287
2530,0.10,3.287
2532,0.10,3.287
2534,0.10,3.287
2536,0.10,3.287
2538,0.10,3.287
2539,0.10,3.287
2542,0.10,3.287
2544,0.10,3.287
2546,0.10,3.287
2547,0.10,3.287
2550,0.10,3.287
2552,0.10,3.287
2554,0.10,3.287
2555,0.10,3.287
2558,0.10,3.287
2560,0.10,3.287
2562,0.10,3.287
2563,0.10,3.287
2566,0.10,3.287
2568,0.10,3.287
2570,0.10,3.287
2571,0.10,3.287
2574,0.10,3.287
2576,0.10,3.287
2578,0.10,3.287
2579,0.10,3.287
2582,0.10,3.287
2584,0.10,3.287
2586,0.10,3.287
2587,0.10,3.287
2590,0.10,3.287
2592,0.10,3.287
2594,0.10,3.287
2595,0.10,3.287
2598,0.10,3.287
2600,0.10,3.287
2602,0.10,3.287
2604,0.10,3.287
2605,0.10,3.287
